mode,model_kind,ablation_name,fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
base,xgb,drop_G_tyre_state,1,19449,0.32,0.3777862110996166,0.08818109596444786,0.44485294117647056,0.45149253731343286,0.4384057971014493,242,294,310,18603
base,xgb,drop_G_strategy_history,1,19449,0.35000000000000003,0.3753014071240847,0.08718470254787505,0.45302897278314314,0.4395229982964225,0.4673913043478261,258,329,294,18568
base,xgb,drop_G_pace,1,19449,0.22,0.2192314393841552,0.10308684407994512,0.2684251357641583,0.23473541383989144,0.3134057971014493,173,564,379,18333
base,xgb,drop_G_traffic_proximity,1,19449,0.29000000000000004,0.33699373073392175,0.0933963747743944,0.42476489028213166,0.3743093922651934,0.49094202898550726,271,453,281,18444
base,xgb,drop_G_undercut_defence,1,19449,0.32,0.3789220009328812,0.08695449156375494,0.4573839662447257,0.42812006319115326,0.49094202898550726,271,362,281,18535
base,xgb,drop_G_undercut_window,1,19449,0.35000000000000003,0.36224952497088847,0.08944738453440194,0.4517241379310345,0.4309210526315789,0.4746376811594203,262,346,290,18551
base,xgb,drop_G_weather,1,19449,0.32,0.38691039902909913,0.08696116247354961,0.4495335029686175,0.4226475279106858,0.48007246376811596,265,362,287,18535
base,xgb,drop_ENGINEERED_ALL,1,19449,0.33,0.33862677923929035,0.09494192451943562,0.4261168384879725,0.40522875816993464,0.4492753623188406,248,364,304,18533
base,xgb,drop_COL_fcy_status,1,19449,0.35000000000000003,0.3926981818830569,0.08462235068209685,0.44525547445255476,0.4485294117647059,0.4420289855072464,244,300,308,18597
base,xgb,drop_COL_track_category,1,19449,0.34,0.38629769899345207,0.08770126264432494,0.43263061411549036,0.437847866419295,0.427536231884058,236,303,316,18594
base,xgb,drop_COL_tyre_change_pursuer,1,19449,0.35000000000000003,0.3858220597477289,0.0857168580653875,0.4452423698384201,0.4412811387900356,0.4492753623188406,248,314,304,18583
base,xgb,drop_COL_close_ahead,1,19449,0.35000000000000003,0.381702575851752,0.08734921031792624,0.4624889673433363,0.4509466437177281,0.4746376811594203,262,319,290,18578
base,xgb,drop_COL_gap_behind_s,1,19449,0.36000000000000004,0.37443803468402714,0.08786256995249156,0.4551223934723481,0.455535390199637,0.45471014492753625,251,300,301,18597
base,xgb,drop_COL_n_cars_within_5s_ahead,1,19449,0.37,0.3808161023126238,0.08706747621690736,0.460431654676259,0.45714285714285713,0.463768115942029,256,304,296,18593
