mode,model_kind,ablation_name,fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
base,svm,baseline_full,2,19527,0.11,0.2328431981080139,0.1704810448648355,0.23356472029399755,0.14621676891615543,0.5801217038539553,286,1670,207,17364
base,svm,drop_G_race_phase,2,19527,0.09,0.20527449735502498,0.1673799672084341,0.20702974121282347,0.12786259541984732,0.5436105476673428,268,1828,225,17206
base,svm,drop_G_race_control,2,19527,0.11,0.23387292342521931,0.16970199658256696,0.23273026315789475,0.14595152140278495,0.5740365111561866,283,1656,210,17378
base,svm,drop_G_track,2,19527,0.05,0.10398929144049093,0.21331300159320934,0.18278688524590164,0.1145351823317925,0.45233265720081134,223,1724,270,17310
base,svm,drop_G_tyre_state,2,19527,0.08,0.1488370347452159,0.29948485470150593,0.1725465041693393,0.10247619047619047,0.5456389452332657,269,2356,224,16678
base,svm,drop_G_strategy_history,2,19527,0.09999999999999999,0.24450683251852126,0.1510885592642879,0.23799582463465555,0.1498422712933754,0.5780933062880325,285,1617,208,17417
base,svm,drop_G_pace,2,19527,0.060000000000000005,0.07733222538874701,0.16530580751714355,0.11729323308270677,0.06691449814126393,0.4746450304259635,234,3263,259,15771
base,svm,drop_G_traffic_proximity,2,19527,0.11,0.21107181600998406,0.21893476424434516,0.23132735808792146,0.1464864864864865,0.5496957403651116,271,1579,222,17455
base,svm,drop_G_undercut_defence,2,19527,0.11,0.23267152860385268,0.1703949879808534,0.2409435551811289,0.15204678362573099,0.5801217038539553,286,1595,207,17439
base,svm,drop_G_undercut_window,2,19527,0.12,0.20240975238273193,0.2368872431729327,0.2501052631578947,0.15781083953241232,0.6024340770791075,297,1585,196,17449
base,svm,drop_G_weather,2,19527,0.11,0.30935630991699425,0.12297765617405722,0.2701705855232826,0.17482100238663484,0.5943204868154158,293,1383,200,17651
base,svm,drop_ENGINEERED_ALL,2,19527,0.12,0.22728329362525776,0.2129390158061275,0.2796780684104628,0.18595317725752508,0.563894523326572,278,1217,215,17817
base,svm,drop_COL_fcy_status,2,19527,0.11,0.23387292342521931,0.16970199658256696,0.23273026315789475,0.14595152140278495,0.5740365111561866,283,1656,210,17378
base,svm,drop_COL_track_category,2,19527,0.09,0.23495465574332486,0.15551472751793605,0.25905797101449274,0.16676384839650146,0.5801217038539553,286,1429,207,17605
base,svm,drop_COL_tyre_change_pursuer,2,19527,0.12,0.23063800405156273,0.17217538738256943,0.24064625850340135,0.15223238300161376,0.5740365111561866,283,1576,210,17458
base,svm,drop_COL_close_ahead,2,19527,0.11,0.22495215403965227,0.18449306187295153,0.2249093107617896,0.1403420523138833,0.565922920892495,279,1709,214,17325
base,svm,drop_COL_gap_behind_s,2,19527,0.09999999999999999,0.23566647759367548,0.16920438686974879,0.2351993556182038,0.14673366834170853,0.592292089249493,292,1698,201,17336
base,svm,drop_COL_n_cars_within_5s_ahead,2,19527,0.11,0.21697018799552925,0.19258881855617052,0.22496025437201908,0.1398912506178942,0.5740365111561866,283,1740,210,17294
base,svm,drop_COL_tyre_age_diff_to_ahead,2,19527,0.11,0.21859908591688454,0.19354670585830455,0.22703569995988768,0.1415,0.5740365111561866,283,1717,210,17317
base,svm,drop_COL_rejoin_gap_ahead_est_s,2,19527,0.11,0.2357786868939842,0.1713366668193472,0.23510069872585285,0.14742268041237114,0.5801217038539553,286,1654,207,17380
base,svm,drop_COL_rejoin_gap_behind_est_s,2,19527,0.09999999999999999,0.22588166191011283,0.17813154493586897,0.2347305389221557,0.14612326043737575,0.5963488843813387,294,1718,199,17316
base,svm,drop_UNDERCUT_PACK,2,19527,0.13,0.20883395562052495,0.2403369272568545,0.24477611940298508,0.15496760259179265,0.5821501014198783,287,1565,206,17469
base,svm,baseline_full,3,19436,0.09999999999999999,0.32924197696319596,0.09308157656227886,0.3188253801782905,0.2145377558221595,0.6204081632653061,304,1113,186,17833
base,svm,drop_G_race_phase,3,19436,0.08,0.28126490754832745,0.10066346750386608,0.26427962489343565,0.16702586206896552,0.6326530612244898,310,1546,180,17400
base,svm,drop_G_race_control,3,19436,0.09999999999999999,0.3290942318612487,0.09427783022856458,0.3186299948105864,0.21363952679192763,0.6265306122448979,307,1130,183,17816
base,svm,drop_G_track,3,19436,0.05,0.12557245006744125,0.13006368722400863,0.19670672007120604,0.12578258394991462,0.45102040816326533,221,1536,269,17410
base,svm,drop_G_tyre_state,3,19436,0.08,0.2793511749501515,0.09772681270000966,0.30957446808510636,0.2093525179856115,0.5938775510204082,291,1099,199,17847
base,svm,drop_G_strategy_history,3,19436,0.09,0.3043184971283546,0.09723994602375687,0.2847985347985348,0.18358913813459268,0.6346938775510204,311,1383,179,17563
base,svm,drop_G_pace,3,19436,0.060000000000000005,0.0919107185601377,0.12331889483512004,0.13544763792533862,0.08080409932991722,0.41836734693877553,205,2332,285,16614
base,svm,drop_G_traffic_proximity,3,19436,0.09999999999999999,0.31012359928550587,0.10076941958074648,0.3281767955801105,0.225,0.6061224489795919,297,1023,193,17923
base,svm,drop_G_undercut_defence,3,19436,0.09999999999999999,0.3192300291956568,0.09792444904303708,0.32482124616956076,0.21662125340599456,0.6489795918367347,318,1150,172,17796
base,svm,drop_G_undercut_window,3,19436,0.11,0.285725587290184,0.11189021793055304,0.32053941908713696,0.2148817802503477,0.6306122448979592,309,1129,181,17817
base,svm,drop_G_weather,3,19436,0.09999999999999999,0.34878109537664365,0.09046603322356254,0.34773218142548595,0.23641703377386197,0.6571428571428571,322,1040,168,17906
base,svm,drop_ENGINEERED_ALL,3,19436,0.11,0.2683409507157869,0.13459830775601908,0.30346820809248554,0.19861286254728877,0.6428571428571429,315,1271,175,17675
base,svm,drop_COL_fcy_status,3,19436,0.09999999999999999,0.3290942318612487,0.09427783022856458,0.3186299948105864,0.21363952679192763,0.6265306122448979,307,1130,183,17816
base,svm,drop_COL_track_category,3,19436,0.09,0.31298987376445275,0.09494231425821367,0.3041940373926225,0.20214909335124245,0.6142857142857143,301,1188,189,17758
base,svm,drop_COL_tyre_change_pursuer,3,19436,0.09999999999999999,0.3240108392970395,0.09602670023329,0.31991744066047473,0.21408839779005526,0.6326530612244898,310,1138,180,17808
base,svm,drop_COL_close_ahead,3,19436,0.09999999999999999,0.32385504839251394,0.09522160237351565,0.32171581769436997,0.21818181818181817,0.6122448979591837,300,1075,190,17871
base,svm,drop_COL_gap_behind_s,3,19436,0.09,0.3240801454195838,0.09522837727843231,0.31702544031311153,0.2084942084942085,0.6612244897959184,324,1230,166,17716
base,svm,drop_COL_n_cars_within_5s_ahead,3,19436,0.09,0.3010529793628433,0.10161834544541168,0.30835322195704057,0.2012461059190031,0.6591836734693878,323,1282,167,17664
base,svm,drop_COL_tyre_age_diff_to_ahead,3,19436,0.12,0.32584424955474334,0.09545611325646267,0.32854681217690984,0.22861710631494805,0.5836734693877551,286,965,204,17981
base,svm,drop_COL_rejoin_gap_ahead_est_s,3,19436,0.09999999999999999,0.33369645467523884,0.09400331209783179,0.3322784810126582,0.2240398293029872,0.6428571428571429,315,1091,175,17855
base,svm,drop_COL_rejoin_gap_behind_est_s,3,19436,0.09999999999999999,0.32303544219437524,0.09525780836634282,0.3229946524064171,0.21884057971014492,0.6163265306122448,302,1078,188,17868
base,svm,drop_UNDERCUT_PACK,3,19436,0.12,0.28672550396900875,0.11640786732515378,0.32415584415584414,0.21742160278745645,0.636734693877551,312,1123,178,17823
base,svm,baseline_full,4,19504,0.12,0.22387540645269474,0.16460681087032603,0.3246678220681687,0.2371308016877637,0.5146520146520146,281,904,265,18054
base,svm,drop_G_race_phase,4,19504,0.11,0.22139389842245505,0.16597376889567236,0.31678750697155605,0.22774659182036888,0.5201465201465202,284,963,262,17995
base,svm,drop_G_race_control,4,19504,0.13,0.22495263797663748,0.1650925911391554,0.32837596668649616,0.2431718061674009,0.5054945054945055,276,859,270,18099
base,svm,drop_G_track,4,19504,0.060000000000000005,0.14857630963390372,0.14314771692656456,0.21159153633854647,0.14127764127764128,0.42124542124542125,230,1398,316,17560
base,svm,drop_G_tyre_state,4,19504,0.09,0.21778636373346275,0.13926813300080434,0.2898241875332978,0.20435762584522915,0.4981684981684982,272,1059,274,17899
base,svm,drop_G_strategy_history,4,19504,0.09999999999999999,0.2269097160509066,0.14900571800714338,0.32985156679494226,0.2356637863315004,0.5494505494505495,300,973,246,17985
base,svm,drop_G_pace,4,19504,0.060000000000000005,0.07973785760636384,0.15170064809881012,0.121840242669363,0.07067448680351907,0.4413919413919414,241,3169,305,15789
base,svm,drop_G_traffic_proximity,4,19504,0.13,0.21355347701498786,0.22058642031749737,0.32809773123909247,0.24040920716112532,0.5164835164835165,282,891,264,18067
base,svm,drop_G_undercut_defence,4,19504,0.13,0.22730390771977685,0.17069300106463528,0.32201405152224827,0.23666092943201378,0.5036630036630036,275,887,271,18071
base,svm,drop_G_undercut_window,4,19504,0.11,0.20752021813807775,0.20903529994796402,0.3218785796105384,0.23416666666666666,0.5146520146520146,281,919,265,18039
base,svm,drop_G_weather,4,19504,0.13,0.25267738457620353,0.15326282279923553,0.32943795214245963,0.23661071143085532,0.5421245421245421,296,955,250,18003
