mode,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
meta,drop_xgb,3,19414,0.4965387496896589,0.0586778761295232,0.5101311084624554,0.5323383084577115,0.4897025171624714,0.27
meta,drop_svm,3,19414,0.5008045710087488,0.05882858379059485,0.5276211950394588,0.52,0.5354691075514875,0.26
meta,drop_ann,3,19414,0.5130279472173597,0.05788102866367052,0.5187713310580204,0.5158371040723982,0.5217391304347826,0.27
meta,drop_tcn,3,19414,0.503766551179486,0.0583199687226794,0.5242030696576151,0.5414634146341464,0.5080091533180778,0.3
meta,drop_tcn_gru,3,19414,0.5161312646156511,0.0586108670242493,0.5056433408577878,0.49888641425389757,0.5125858123569794,0.24000000000000002
meta,drop_lstm,3,19414,0.4778081407918184,0.06005956686933435,0.5074626865671642,0.5092165898617511,0.505720823798627,0.25
meta,drop_gru,3,19414,0.5121392030652163,0.05860523699180261,0.5273972602739726,0.5261958997722096,0.528604118993135,0.28
meta,drop_hybrid_vse,3,19414,0.5060429587098775,0.05871854968214824,0.5160599571734475,0.48490945674044267,0.551487414187643,0.24000000000000002
meta,drop_all_tabular_bases,3,19414,0.4976648914288056,0.05895782075795622,0.5093896713615024,0.5228915662650603,0.4965675057208238,0.26
meta,drop_all_sequential_bases,3,19414,0.30772820666205175,0.0750374350450335,0.342327150084317,0.27102803738317754,0.4645308924485126,0.19
meta,drop_all_race_context_KEEP_ONLY_PREDS,3,19414,0.4943122734808109,0.058749321881930036,0.5157657657657657,0.5077605321507761,0.5240274599542334,0.23
meta,baseline_full,4,19432,0.39420604139025744,0.10059002190749118,0.4083333333333333,0.5077720207253886,0.34146341463414637,0.27
meta,drop_rf,4,19432,0.3904621507528206,0.10116454813750474,0.40976645435244163,0.5244565217391305,0.3362369337979094,0.29000000000000004
meta,drop_xgb,4,19432,0.3692526350362116,0.10261390904558032,0.4127310061601643,0.5025,0.3501742160278746,0.26
meta,drop_svm,4,19432,0.3820952271503756,0.10090880681655157,0.4175152749490835,0.5024509803921569,0.35714285714285715,0.27
meta,drop_ann,4,19432,0.39685897145368043,0.09929727750083704,0.42213114754098363,0.5124378109452736,0.3588850174216028,0.26
meta,drop_tcn,4,19432,0.3920351688315797,0.10052346359560327,0.41092896174863386,0.5513196480938416,0.32752613240418116,0.32
meta,drop_tcn_gru,4,19432,0.3787781539921187,0.1015198359789946,0.40303358613217766,0.5329512893982808,0.3240418118466899,0.32
meta,drop_lstm,4,19432,0.3835066838864705,0.10031113748559278,0.41386782231852653,0.5472779369627507,0.3327526132404181,0.33
meta,drop_gru,4,19432,0.3920568296107265,0.10108895185081467,0.41530054644808745,0.5571847507331378,0.3310104529616725,0.29000000000000004
meta,drop_hybrid_vse,4,19432,0.3931190209236916,0.10183390273685704,0.4004329004329004,0.5285714285714286,0.32229965156794427,0.3
meta,drop_all_tabular_bases,4,19432,0.3558862486036693,0.10345889204877748,0.40836653386454186,0.47674418604651164,0.35714285714285715,0.25
meta,drop_all_sequential_bases,4,19432,0.27165815542168437,0.1097007739865929,0.3072100313479624,0.3838120104438642,0.25609756097560976,0.21000000000000002
meta,drop_all_race_context_KEEP_ONLY_PREDS,4,19432,0.3987778216917408,0.09687847040865893,0.4239917269906929,0.5216284987277354,0.35714285714285715,0.24000000000000002
