mode,model_kind,ablation_name,fold_id,n_test_seqs,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
seq,tcn,drop_COL_tyre_age_diff_to_ahead,3,19436,0.9600000000000001,0.545913872318223,0.2301691073024105,0.5224550898203593,0.41252955082742315,0.7122448979591837,349,497,141,18449
seq,tcn,drop_COL_rejoin_gap_ahead_est_s,3,19436,0.87,0.4970648103911366,0.17416156095016264,0.4877365101611773,0.37139807897545357,0.710204081632653,348,589,142,18357
seq,tcn,drop_COL_rejoin_gap_behind_est_s,3,19436,0.93,0.6113162964699156,0.13385601647346915,0.6243194192377496,0.5620915032679739,0.7020408163265306,344,268,146,18678
seq,tcn,baseline_full,4,19504,0.9600000000000001,0.504589271277606,0.16681710661139076,0.587360594795539,0.5962264150943396,0.5787545787545788,316,214,230,18744
seq,tcn,drop_G_race_phase,4,19504,0.85,0.535393855815965,0.10588590238277829,0.5916030534351145,0.6175298804780877,0.5677655677655677,310,192,236,18766
seq,tcn,drop_G_race_control,4,19504,0.87,0.5135490197035808,0.12671158547113417,0.6040145985401459,0.6018181818181818,0.6062271062271062,331,219,215,18739
seq,tcn,drop_G_track,4,19504,0.91,0.5807240411538482,0.13134808923712069,0.596562184024267,0.6659142212189616,0.5402930402930403,295,148,251,18810
seq,tcn,drop_G_tyre_state,4,19504,0.91,0.587909464406434,0.1434325201459386,0.6175580221997982,0.6876404494382022,0.5604395604395604,306,139,240,18819
seq,tcn,drop_G_strategy_history,4,19504,0.93,0.4534024564718563,0.14388865091433858,0.5827814569536424,0.6027397260273972,0.5641025641025641,308,203,238,18755
seq,tcn,drop_G_pace,4,19504,0.76,0.06882739241211422,0.38528424211818274,0.13114754098360656,0.08447729672650475,0.29304029304029305,160,1734,386,17224
seq,tcn,drop_G_traffic_proximity,4,19504,0.91,0.5328505218975702,0.14600999611698023,0.56657223796034,0.5847953216374269,0.5494505494505495,300,213,246,18745
seq,tcn,drop_G_undercut_defence,4,19504,0.8300000000000001,0.5463165407119447,0.1256178574984815,0.5966228893058161,0.6115384615384616,0.5824175824175825,318,202,228,18756
seq,tcn,drop_G_undercut_window,4,19504,0.9600000000000001,0.6117112726243092,0.1517883710486805,0.6123222748815166,0.6345776031434185,0.5915750915750916,323,186,223,18772
seq,tcn,drop_G_weather,4,19504,0.9,0.5526984657396331,0.1112089945035829,0.5828343313373253,0.6403508771929824,0.5347985347985348,292,164,254,18794
seq,tcn,drop_ENGINEERED_ALL,4,19504,0.91,0.5395160470690132,0.13343042607565883,0.6021093000958773,0.6317907444668008,0.575091575091575,314,183,232,18775
seq,tcn,drop_UNDERCUT_PACK,4,19504,0.9,0.5852162686205644,0.12105004672241168,0.6242424242424243,0.6959459459459459,0.5659340659340659,309,135,237,18823
seq,tcn,drop_COL_fcy_status,4,19504,0.87,0.5135490197035808,0.12671158547113417,0.6040145985401459,0.6018181818181818,0.6062271062271062,331,219,215,18739
seq,tcn,drop_COL_track_category,4,19504,0.9500000000000001,0.5256156792061286,0.1432352871364912,0.573469387755102,0.6474654377880185,0.5146520146520146,281,153,265,18805
seq,tcn,drop_COL_tyre_change_pursuer,4,19504,0.91,0.5208823570532723,0.11867199996409082,0.5811088295687885,0.6612149532710281,0.5183150183150184,283,145,263,18813
seq,tcn,drop_COL_close_ahead,4,19504,0.89,0.49423764349246824,0.12989990614356614,0.5606361829025845,0.6130434782608696,0.5164835164835165,282,178,264,18780
seq,tcn,drop_COL_gap_behind_s,4,19504,0.87,0.5218183321270824,0.1211563363571763,0.5928085519922255,0.6314699792960663,0.5586080586080586,305,178,241,18780
seq,tcn,drop_COL_n_cars_within_5s_ahead,4,19504,0.93,0.5946660694857371,0.14652714870883873,0.589648798521257,0.5951492537313433,0.5842490842490843,319,217,227,18741
seq,tcn,drop_COL_tyre_age_diff_to_ahead,4,19504,0.9500000000000001,0.5241701563086424,0.15984014004047814,0.5963855421686747,0.66,0.5439560439560439,297,153,249,18805
seq,tcn,drop_COL_rejoin_gap_ahead_est_s,4,19504,0.92,0.49768469110160873,0.15285922081790446,0.572265625,0.6129707112970711,0.5366300366300366,293,185,253,18773
seq,tcn,drop_COL_rejoin_gap_behind_est_s,4,19504,0.88,0.5573551641021308,0.12046033552344226,0.6085271317829457,0.6460905349794238,0.575091575091575,314,172,232,18786
