race_id,model_a,model_b,n_valid,pearson,spearman,disagree_rate,total_disagree,a_not_b,b_not_a
33,lstm,tcn,640,0.708342093632329,0.7098704159433984,0.234375,150,130,20
33,lstm,tcn_gru,640,0.6597724541707088,0.6615239081394243,0.25625,164,119,45
33,tcn,tcn_gru,640,0.7675393015157859,0.8189279331736652,0.146875,94,29,65
34,gru,lstm,693,0.8863836324398208,0.7491537741575223,0.017316017316017316,12,10,2
34,gru,tcn,693,0.7830038199202788,0.6221408260854546,0.01875901875901876,13,13,0
34,gru,tcn_gru,693,0.7047424020466785,0.4121554512852343,0.025974025974025976,18,12,6
34,lstm,tcn,693,0.8006533139885533,0.8031382919690628,0.012987012987012988,9,7,2
34,lstm,tcn_gru,693,0.729878935748822,0.5918920967312631,0.020202020202020204,14,6,8
34,tcn,tcn_gru,693,0.8221194507487316,0.6459600851248499,0.012987012987012988,9,1,8
35,gru,lstm,527,0.904892717313985,0.7844591997565282,0.024667931688804556,13,4,9
35,gru,tcn,527,0.8285248885135882,0.5072303689268935,0.026565464895635674,14,9,5
35,gru,tcn_gru,527,0.8165978269852553,0.3931292965877854,0.030360531309297913,16,9,7
35,lstm,tcn,527,0.857431111572748,0.7216816289532215,0.024667931688804556,13,11,2
35,lstm,tcn_gru,527,0.8216884490882834,0.6025823964276791,0.028462998102466792,15,11,4
35,tcn,tcn_gru,527,0.847470306521795,0.6500478646684303,0.018975332068311195,10,4,6
36,gru,lstm,524,0.7605251129513186,0.8241786855883448,0.10877862595419847,57,44,13
36,gru,tcn,524,0.543418105296058,0.5893133941212407,0.11641221374045801,61,52,9
36,gru,tcn_gru,524,0.6097193498444062,0.5191747968581562,0.1049618320610687,55,52,3
36,lstm,tcn,524,0.5898312564281546,0.5551734707281828,0.07633587786259542,40,26,14
36,lstm,tcn_gru,524,0.6409676878944632,0.48752649653558966,0.0648854961832061,34,26,8
36,tcn,tcn_gru,524,0.6854163653021232,0.6182156879507746,0.03816793893129771,20,13,7
37,gru,lstm,708,0.9164931305373074,0.7481249144322459,0.00847457627118644,6,6,0
37,gru,tcn,708,0.8242168516128774,0.6184643353600671,0.012711864406779662,9,7,2
37,gru,tcn_gru,708,0.7227331694926804,0.4525695550666137,0.01977401129943503,14,8,6
