race_id,row_id,y_true,y_pred,p_max,correct,explained_class,rank,feature,shap_signed,shap_abs,feature_value,group,direction
53,1207,0,0,0.9808293581008911,1,HARD,6,p_svm_c3,0.21201594173908234,0.21201594173908234,5.0245447045414776e-05,OTHER,push_HARD
53,1222,0,0,0.9660679697990417,1,HARD,1,race_track,1.1204794645309448,3.634337902069092,Portuguese Grand Prix,G_track,push_HARD
53,1222,0,0,0.9660679697990417,1,HARD,2,p_xgb_c0,0.6187888383865356,0.6187888383865356,0.963808536529541,OTHER,push_HARD
53,1222,0,0,0.9660679697990417,1,HARD,3,p_ann_c1,-0.24836787581443787,0.24836787581443787,0.19239218533039093,OTHER,away_HARD
53,1222,0,0,0.9660679697990417,1,HARD,4,p_svm_c0,0.2373322695493698,0.2373322695493698,0.9427422041654733,OTHER,push_HARD
53,1222,0,0,0.9660679697990417,1,HARD,5,p_ann_c3,0.19804580509662628,0.19804580509662628,0.17090849578380585,OTHER,push_HARD
53,1222,0,0,0.9660679697990417,1,HARD,6,race_progress,0.18879106640815735,0.18879106640815735,0.4242424242424242,G_race_phase,push_HARD
53,1220,0,1,0.5688959956169128,0,MEDIUM,1,race_track,-0.33537542819976807,1.6839176416397095,Portuguese Grand Prix,G_track,away_MEDIUM
53,1220,0,1,0.5688959956169128,0,MEDIUM,2,current_compound,-0.4965318739414215,0.5858379602432251,SOFT,G_tyre,away_MEDIUM
53,1220,0,1,0.5688959956169128,0,MEDIUM,3,p_vse_compound_ann_c0,0.4259718358516693,0.4259718358516693,0.2627791166305542,OTHER,push_MEDIUM
53,1220,0,1,0.5688959956169128,0,MEDIUM,4,p_rf_c1,0.3350091874599457,0.3350091874599457,0.5092441739836722,OTHER,push_MEDIUM
53,1220,0,1,0.5688959956169128,0,MEDIUM,5,p_ann_c1,-0.29357796907424927,0.29357796907424927,0.1903916746377945,OTHER,away_MEDIUM
53,1220,0,1,0.5688959956169128,0,MEDIUM,6,p_xgb_c2,-0.16673468053340912,0.16673468053340912,0.01867837831377983,OTHER,away_MEDIUM
53,1209,1,0,0.5027096271514893,0,HARD,1,race_track,1.2515488862991333,3.9155900478363037,Portuguese Grand Prix,G_track,push_HARD
53,1209,1,0,0.5027096271514893,0,HARD,2,p_ann_c1,-0.28418710827827454,0.28418710827827454,0.19431710243225098,OTHER,away_HARD
53,1209,1,0,0.5027096271514893,0,HARD,3,p_svm_c0,0.2761732339859009,0.2761732339859009,0.5834598748090082,OTHER,push_HARD
53,1209,1,0,0.5027096271514893,0,HARD,4,p_xgb_c0,-0.2539374530315399,0.2539374530315399,0.47510451078414917,OTHER,away_HARD
53,1209,1,0,0.5027096271514893,0,HARD,5,p_vse_compound_ann_c0,0.21649639308452606,0.21649639308452606,0.2689112424850464,OTHER,push_HARD
53,1209,1,0,0.5027096271514893,0,HARD,6,race_progress,0.2066202610731125,0.2066202610731125,0.2121212121212121,G_race_phase,push_HARD
73,1707,0,0,0.9780922532081604,1,HARD,1,race_track,0.7021902799606323,3.7542176246643066,Portuguese Grand Prix,G_track,push_HARD
73,1707,0,0,0.9780922532081604,1,HARD,2,p_xgb_c0,0.6265034079551697,0.6265034079551697,0.9605121612548828,OTHER,push_HARD
73,1707,0,0,0.9780922532081604,1,HARD,3,p_ann_c4,0.3232305347919464,0.3232305347919464,0.15896005928516388,OTHER,push_HARD
73,1707,0,0,0.9780922532081604,1,HARD,4,p_ann_c1,-0.280683696269989,0.280683696269989,0.18554121255874634,OTHER,away_HARD
73,1707,0,0,0.9780922532081604,1,HARD,5,p_vse_compound_ann_c0,0.24364328384399414,0.24364328384399414,0.30720338225364685,OTHER,push_HARD
73,1707,0,0,0.9780922532081604,1,HARD,6,p_svm_c0,0.240574911236763,0.240574911236763,0.9034472891594233,OTHER,push_HARD
73,1689,0,0,0.9707040786743164,1,HARD,1,race_track,0.7902824878692627,3.672022581100464,Portuguese Grand Prix,G_track,push_HARD
73,1689,0,0,0.9707040786743164,1,HARD,2,p_xgb_c0,0.5992869138717651,0.5992869138717651,0.9632824063301086,OTHER,push_HARD
73,1689,0,0,0.9707040786743164,1,HARD,3,p_ann_c4,0.31995245814323425,0.31995245814323425,0.15874174237251282,OTHER,push_HARD
73,1689,0,0,0.9707040786743164,1,HARD,4,p_svm_c0,0.310361385345459,0.310361385345459,0.9286957729252252,OTHER,push_HARD
73,1689,0,0,0.9707040786743164,1,HARD,5,p_ann_c1,-0.28278428316116333,0.28278428316116333,0.18756383657455444,OTHER,away_HARD
73,1689,0,0,0.9707040786743164,1,HARD,6,p_vse_compound_ann_c3,0.2167907953262329,0.2167907953262329,0.14221422374248505,OTHER,push_HARD
73,1688,1,0,0.756740391254425,0,HARD,1,race_track,1.2896456718444824,3.7893970012664795,Portuguese Grand Prix,G_track,push_HARD
73,1688,1,0,0.756740391254425,0,HARD,2,p_svm_c0,0.35133686661720276,0.35133686661720276,0.8180060977490696,OTHER,push_HARD
73,1688,1,0,0.756740391254425,0,HARD,3,p_ann_c3,0.2384374588727951,0.2384374588727951,0.15489816665649414,OTHER,push_HARD
73,1688,1,0,0.756740391254425,0,HARD,4,p_xgb_c0,0.21864385902881622,0.21864385902881622,0.6803199648857117,OTHER,push_HARD
73,1688,1,0,0.756740391254425,0,HARD,5,p_vse_compound_ann_c0,0.21635988354682922,0.21635988354682922,0.29820331931114197,OTHER,push_HARD
73,1688,1,0,0.756740391254425,0,HARD,6,p_ann_c1,-0.19188112020492554,0.19188112020492554,0.23450055718421936,OTHER,away_HARD
73,1694,1,0,0.756740391254425,0,HARD,1,race_track,1.2896456718444824,3.7893970012664795,Portuguese Grand Prix,G_track,push_HARD
73,1694,1,0,0.756740391254425,0,HARD,2,p_svm_c0,0.35133686661720276,0.35133686661720276,0.8180060977490696,OTHER,push_HARD
73,1694,1,0,0.756740391254425,0,HARD,3,p_ann_c3,0.2384374588727951,0.2384374588727951,0.15489816665649414,OTHER,push_HARD
73,1694,1,0,0.756740391254425,0,HARD,4,p_xgb_c0,0.21864385902881622,0.21864385902881622,0.6803199648857117,OTHER,push_HARD
73,1694,1,0,0.756740391254425,0,HARD,5,p_vse_compound_ann_c0,0.21635988354682922,0.21635988354682922,0.29820331931114197,OTHER,push_HARD
73,1694,1,0,0.756740391254425,0,HARD,6,p_ann_c1,-0.19188112020492554,0.19188112020492554,0.23450055718421936,OTHER,away_HARD
