ablation_name,meta_fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
drop_tcn_effective_len,4,19462,0.31,0.5908363649578899,0.07220579778299069,0.6047658175842235,0.5679012345679012,0.6467486818980668,368,280,201,18613
drop_G_race_phase,4,19462,0.33,0.5806637837896277,0.07648969925121353,0.576297443841983,0.5152354570637119,0.6537785588752196,372,350,197,18543
drop_G_race_control,4,19462,0.29000000000000004,0.5900966300047414,0.0723431820435664,0.6019261637239165,0.5539143279172821,0.6590509666080844,375,302,194,18591
drop_G_track,4,19462,0.32,0.6066383138250497,0.067844734693833,0.609271523178808,0.5758998435054773,0.6467486818980668,368,271,201,18622
drop_G_tyre,4,19462,0.33,0.5921192169453636,0.07041958549042657,0.6148648648648649,0.591869918699187,0.6397188049209139,364,251,205,18642
drop_G_traffic,4,19462,0.38,0.5774281092385132,0.0726426907279867,0.6149914821124361,0.596694214876033,0.6344463971880492,361,244,208,18649
drop_G_strategy_history,4,19462,0.35000000000000003,0.5995263764698853,0.07066724261582379,0.6215753424657534,0.6060100166944908,0.6379613356766256,363,236,206,18657
drop_G_pace,4,19462,0.28,0.580963182075014,0.07544967410488505,0.594847775175644,0.5351123595505618,0.6695957820738138,381,331,188,18562
drop_G_weather,4,19462,0.33,0.6077775135526907,0.071409946342632,0.6216216216216216,0.5983739837398374,0.6467486818980668,368,247,201,18646
drop_G_tyre_and_G_race_control,4,19462,0.33,0.5803385338942326,0.07207237081529733,0.6018287614297589,0.5709779179810726,0.6362038664323374,362,272,207,18621
drop_G_tyre_and_G_traffic,4,19462,0.29000000000000004,0.5781592664832457,0.07196770358962915,0.5923566878980892,0.5414847161572053,0.6537785588752196,372,315,197,18578
drop_G_weather_and_G_tyre,4,19462,0.34,0.6009941322276008,0.07015931727109484,0.6195286195286195,0.5945072697899838,0.6467486818980668,368,251,201,18642
