slice_col,slice_value,ablation_name,fold_id,threshold_used,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN,n_rows,n_pos,pos_rate
slice_wetness_x_fcy,WET×GREEN,stream_tcn_proba,1,0.77,0.5396856191695049,0.15545932481190897,0.35,0.875,0.21875,7,1,25,516,549,32,0.058287795992714025
slice_wetness_x_fcy,DRY×GREEN,stream_tcn_proba,2,0.77,0.6146586683393434,0.10847741995506958,0.6096997690531177,0.717391304347826,0.5301204819277109,264,104,234,16556,17158,498,0.029024361813731202
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_tcn_proba,2,0.77,0.6153389059917999,0.11650320512247532,0.5588235294117647,0.7037037037037037,0.4634146341463415,19,8,22,1131,1180,41,0.03474576271186441
slice_wetness_x_fcy,WET×GREEN,stream_tcn_proba,2,0.77,0.8909090909090909,0.07207300154126459,0.6153846153846154,0.5,0.8,4,4,1,913,922,5,0.005422993492407809
slice_wetness_x_fcy,DRY×GREEN,stream_tcn_proba,3,0.77,0.651701510753961,0.15698674241443367,0.6452380952380953,0.7384196185286104,0.572938689217759,271,96,202,16138,16707,473,0.0283114862033878
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_tcn_proba,3,0.77,0.3942449529896588,0.39681710117504837,0.425531914893617,0.5882352941176471,0.3333333333333333,10,7,20,769,806,30,0.03722084367245657
slice_wetness_x_fcy,WET×GREEN,stream_tcn_proba,3,0.77,0.24945521765850753,0.1928450921769653,0.12962962962962962,0.7777777777777778,0.0707070707070707,7,2,92,1785,1886,99,0.05249204665959703
slice_wetness_x_fcy,DRY×GREEN,stream_tcn_proba,4,0.77,0.6585991385472649,0.15211221570034522,0.6743455497382199,0.7076923076923077,0.644,322,133,178,15636,16269,500,0.03073329645337759
slice_wetness_x_fcy,POST_RAIN×GREEN,stream_tcn_proba,4,0.77,0.38083710498669443,0.22568323384168865,0.45454545454545453,0.44776119402985076,0.46153846153846156,30,37,35,2131,2233,65,0.02910882221227049
slice_wetness_x_fcy,WET×GREEN,stream_tcn_proba,4,0.77,0.6511001100110011,0.21404096400495803,0.6,0.5,0.75,3,3,1,953,960,4,0.004166666666666667
slice_phase_x_tyre,early×0_5,stream_p_ann,0,0.5700000000000001,0.018818194943678552,0.41576961993430545,0.016129032258064516,0.009345794392523364,0.058823529411764705,2,212,32,1559,1805,34,0.018836565096952907
slice_phase_x_tyre,early×16_plus,stream_p_ann,0,0.5700000000000001,0.1376423883295742,0.429114810946206,0.175,0.1337579617834395,0.25301204819277107,21,136,62,1081,1300,83,0.06384615384615384
slice_phase_x_tyre,early×6_15,stream_p_ann,0,0.5700000000000001,0.12001360965350763,0.4050200000115025,0.09951845906902086,0.05730129390018484,0.3780487804878049,31,510,51,2666,3258,82,0.025168815224063844
slice_phase_x_tyre,early×nan,stream_p_ann,0,0.5700000000000001,,,0.0,0.0,0.0,0,0,0,10,10,0,0.0
slice_phase_x_tyre,late×0_5,stream_p_ann,0,0.5700000000000001,0.00589720577235075,0.20124362680871816,0.0,0.0,0.0,0,9,3,475,487,3,0.006160164271047228
slice_phase_x_tyre,late×16_plus,stream_p_ann,0,0.5700000000000001,0.06751685942881394,0.30040928455870264,0.05459057071960298,0.03313253012048193,0.15492957746478872,11,321,60,3731,4123,71,0.017220470531166626
slice_phase_x_tyre,late×6_15,stream_p_ann,0,0.5700000000000001,0.026874225757621755,0.19635239640044,0.0,0.0,0.0,0,12,18,1769,1799,18,0.010005558643690939
slice_phase_x_tyre,late×nan,stream_p_ann,0,0.5700000000000001,0.3,0.15736255360220192,0.0,0.0,0.0,0,0,2,157,159,2,0.012578616352201259
slice_phase_x_tyre,mid×0_5,stream_p_ann,0,0.5700000000000001,,,0.0,0.0,0.0,0,3,0,1093,1096,0,0.0
slice_phase_x_tyre,mid×16_plus,stream_p_ann,0,0.5700000000000001,0.08509759921552934,0.44220711741632895,0.10491803278688525,0.07729468599033816,0.16326530612244897,32,382,164,2409,2987,196,0.06561767659859391
slice_phase_x_tyre,mid×6_15,stream_p_ann,0,0.5700000000000001,0.01233817853480803,0.23621709713894543,0.0,0.0,0.0,0,11,15,2392,2418,15,0.00620347394540943
slice_phase_x_tyre,mid×nan,stream_p_ann,0,0.5700000000000001,,,0.0,0.0,0.0,0,0,0,20,20,0,0.0
slice_phase_x_tyre,early×0_5,stream_p_ann,1,0.5700000000000001,0.0617750824678457,0.24774008497748823,0.0,0.0,0.0,0,24,23,1769,1816,23,0.012665198237885462
slice_phase_x_tyre,early×16_plus,stream_p_ann,1,0.5700000000000001,0.11454964356972014,0.36943248343071006,0.10526315789473684,0.3125,0.06329113924050633,5,11,74,1084,1174,79,0.06729131175468483
slice_phase_x_tyre,early×6_15,stream_p_ann,1,0.5700000000000001,0.09360917198093312,0.28052060408732915,0.10084033613445378,0.2727272727272727,0.061855670103092786,6,16,91,3243,3356,97,0.028903456495828365
slice_phase_x_tyre,early×nan,stream_p_ann,1,0.5700000000000001,0.75,0.3178780406379236,0.5714285714285714,0.4,1.0,4,6,0,54,64,4,0.0625
slice_phase_x_tyre,late×0_5,stream_p_ann,1,0.5700000000000001,0.017365581687999208,0.12625083689766392,0.0,0.0,0.0,0,0,3,421,424,3,0.007075471698113208
slice_phase_x_tyre,late×16_plus,stream_p_ann,1,0.5700000000000001,0.061644813663524686,0.2483892992698138,0.0967741935483871,0.125,0.07894736842105263,6,42,70,4305,4423,76,0.017182907528826587
slice_phase_x_tyre,late×6_15,stream_p_ann,1,0.5700000000000001,0.018283115085505692,0.1411367845772542,0.0,0.0,0.0,0,1,18,1682,1701,18,0.010582010582010581
slice_phase_x_tyre,late×nan,stream_p_ann,1,0.5700000000000001,,,0.0,0.0,0.0,0,0,0,34,34,0,0.0
slice_phase_x_tyre,mid×0_5,stream_p_ann,1,0.5700000000000001,0.10212527243559832,0.14619540527518227,0.15384615384615385,1.0,0.08333333333333333,1,0,11,1031,1043,12,0.011505273250239693
slice_phase_x_tyre,mid×16_plus,stream_p_ann,1,0.5700000000000001,0.10839273643214704,0.37411498333970156,0.1288135593220339,0.24050632911392406,0.08796296296296297,19,60,197,2827,3103,216,0.06961005478569127
slice_phase_x_tyre,mid×6_15,stream_p_ann,1,0.5700000000000001,0.034080426379222435,0.17439834946610813,0.0,0.0,0.0,0,1,20,2371,2392,20,0.008361204013377926
slice_phase_x_tyre,mid×nan,stream_p_ann,1,0.5700000000000001,,,0.0,0.0,0.0,0,0,0,11,11,0,0.0
slice_phase_x_tyre,early×0_5,stream_p_ann,2,0.5,0.016030871410080683,0.6455878316892371,0.012698412698412698,0.006666666666666667,0.13333333333333333,4,596,26,1090,1716,30,0.017482517482517484
slice_phase_x_tyre,early×16_plus,stream_p_ann,2,0.5,0.15732019300270905,0.6238794407931453,0.24032586558044808,0.14898989898989898,0.6210526315789474,59,337,36,879,1311,95,0.07246376811594203
slice_phase_x_tyre,early×6_15,stream_p_ann,2,0.5,0.05149274465833813,0.6174590447718569,0.06656101426307448,0.035,0.6774193548387096,42,1158,20,2048,3268,62,0.018971848225214197
slice_phase_x_tyre,early×nan,stream_p_ann,2,0.5,,,0.0,0.0,0.0,0,33,0,0,33,0,0.0
slice_phase_x_tyre,late×0_5,stream_p_ann,2,0.5,0.025397141109312914,0.315078112353881,0.0,0.0,0.0,0,31,6,454,491,6,0.012219959266802444
slice_phase_x_tyre,late×16_plus,stream_p_ann,2,0.5,0.038070567939705674,0.39976119883400496,0.06605504587155964,0.037037037037037035,0.3050847457627119,18,468,41,3573,4100,59,0.014390243902439025
slice_phase_x_tyre,late×6_15,stream_p_ann,2,0.5,0.04791068732816919,0.304226380672877,0.08,0.043795620437956206,0.46153846153846156,6,131,7,1717,1861,13,0.006985491671144546
slice_phase_x_tyre,mid×0_5,stream_p_ann,2,0.5,0.02631319831731649,0.3713404526309358,0.052083333333333336,0.028735632183908046,0.2777777777777778,5,169,13,1103,1290,18,0.013953488372093023
slice_phase_x_tyre,mid×16_plus,stream_p_ann,2,0.5,0.19894625034432603,0.5948605159031953,0.27402135231316727,0.17381489841986456,0.6470588235294118,154,732,84,1657,2627,238,0.09059763989341454
slice_phase_x_tyre,mid×6_15,stream_p_ann,2,0.5,0.12899596946496641,0.36276324144981414,0.10062893081761007,0.05423728813559322,0.6956521739130435,16,279,7,2261,2563,23,0.008973858759266484
slice_phase_x_tyre,early×0_5,stream_p_ann,3,0.5700000000000001,0.12846204769725458,0.3080414411098625,0.09937888198757763,0.09523809523809523,0.1038961038961039,8,76,69,1741,1894,77,0.04065469904963041
slice_phase_x_tyre,early×16_plus,stream_p_ann,3,0.5700000000000001,0.14176036757431182,0.3011130720042159,0.12244897959183673,0.14634146341463414,0.10526315789473684,6,35,51,1062,1154,57,0.049393414211438474
slice_phase_x_tyre,early×6_15,stream_p_ann,3,0.5700000000000001,0.039947276892096144,0.28101032561683637,0.03980099502487562,0.030303030303030304,0.057971014492753624,4,128,65,2883,3080,69,0.022402597402597403
slice_phase_x_tyre,early×nan,stream_p_ann,3,0.5700000000000001,,,0.0,0.0,0.0,0,0,0,222,222,0,0.0
slice_phase_x_tyre,late×0_5,stream_p_ann,3,0.5700000000000001,0.021553820745214777,0.14595536532457745,0.0,0.0,0.0,0,1,11,596,608,11,0.018092105263157895
slice_phase_x_tyre,late×16_plus,stream_p_ann,3,0.5700000000000001,0.08214050491258483,0.19821882522049497,0.1206896551724138,0.22580645161290322,0.08235294117647059,7,24,78,3648,3757,85,0.02262443438914027
slice_phase_x_tyre,late×6_15,stream_p_ann,3,0.5700000000000001,0.04887199670965269,0.14148440264143128,0.041666666666666664,0.25,0.022727272727272728,1,3,43,2137,2184,44,0.020146520146520148
