number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,state
83,1.2359921607853976,2026-02-26 11:12:11.220613,2026-02-26 11:12:11.464444,0 days 00:00:00.243831,0.006460200680198695,3,sigmoid,,,linear,3188.0,0.0007556233216646602,PRUNED
84,1.1556042165022447,2026-02-26 11:12:11.487507,2026-02-26 11:12:11.787312,0 days 00:00:00.299805,0.0013352407694462425,3,sigmoid,,,linear,4883.0,0.0021434709704171192,COMPLETE
85,1.2232029478847468,2026-02-26 11:12:11.814812,2026-02-26 11:12:12.044787,0 days 00:00:00.229975,0.004501640310921229,3,sigmoid,,,linear,4149.0,0.0011471663256245302,PRUNED
86,1.148298495809861,2026-02-26 11:12:12.068089,2026-02-26 11:12:12.404111,0 days 00:00:00.336022,0.0034455080083658912,3,sigmoid,,,linear,6487.0,0.0008234482852334294,COMPLETE
87,1.1482443998915617,2026-02-26 11:12:12.431930,2026-02-26 11:12:12.746586,0 days 00:00:00.314656,0.003334158739240667,3,sigmoid,,,linear,5935.0,0.0006155349041871771,COMPLETE
88,1.252456810791658,2026-02-26 11:12:12.774636,2026-02-26 11:12:13.013917,0 days 00:00:00.239281,0.008401434591137335,3,isotonic,,,linear,6160.0,0.0005643178556340834,PRUNED
89,1.153744790935582,2026-02-26 11:12:13.038350,2026-02-26 11:12:13.303315,0 days 00:00:00.264965,0.0010013812418274792,3,sigmoid,,,linear,6025.0,0.00028776614273473295,PRUNED
90,1.2828860723959394,2026-02-26 11:12:13.326408,2026-02-26 11:12:14.337259,0 days 00:00:01.010851,0.012408001977179514,3,sigmoid,,0.00046685756221783586,rbf,,,PRUNED
91,1.2172253871424483,2026-02-26 11:12:14.363420,2026-02-26 11:12:14.662737,0 days 00:00:00.299317,0.003641999592708993,3,sigmoid,,,linear,5071.0,0.00014789107894071758,PRUNED
92,1.2275887512802985,2026-02-26 11:12:14.695997,2026-02-26 11:12:14.953799,0 days 00:00:00.257802,0.005147532665653529,3,sigmoid,,,linear,3059.0,0.0007593896062905238,PRUNED
93,1.1482133660646192,2026-02-26 11:12:14.983591,2026-02-26 11:12:15.344363,0 days 00:00:00.360772,0.0030618555056898494,3,sigmoid,,,linear,4051.0,0.0004449546387660335,COMPLETE
94,1.1528454813485918,2026-02-26 11:12:15.494180,2026-02-26 11:12:15.894852,0 days 00:00:00.400672,0.0015992146366831913,3,sigmoid,,,linear,4068.0,0.0006029882807534341,COMPLETE
95,1.148206741777215,2026-02-26 11:12:15.945166,2026-02-26 11:12:16.295243,0 days 00:00:00.350077,0.0031860178260231125,3,sigmoid,,,linear,6556.0,0.00046621954613830583,COMPLETE
96,1.2192199214799502,2026-02-26 11:12:16.339874,2026-02-26 11:12:16.574714,0 days 00:00:00.234840,0.0039265866554529915,3,sigmoid,,,linear,7567.0,0.0004334685944321207,PRUNED
97,1.2379856159585267,2026-02-26 11:12:16.599263,2026-02-26 11:12:16.886297,0 days 00:00:00.287034,0.0067889924314211226,3,sigmoid,,,linear,5799.0,0.0002879214574289241,PRUNED
98,1.1553155314861536,2026-02-26 11:12:16.910226,2026-02-26 11:12:17.212905,0 days 00:00:00.302679,0.001358384318552385,3,sigmoid,,,linear,6478.0,0.0012367368809001133,COMPLETE
99,1.2570405880162008,2026-02-26 11:12:17.239174,2026-02-26 11:12:17.491980,0 days 00:00:00.252806,0.005185460257818946,3,sigmoid,balanced,,linear,5365.0,0.00170783651895967,PRUNED
100,1.444551809397211,2026-02-26 11:12:17.515983,2026-02-26 11:12:19.598867,0 days 00:00:02.082884,3.1306792423705234,3,sigmoid,,,linear,6827.0,0.00020785836168218702,PRUNED
101,1.4183047379612495,2026-02-26 11:12:19.625570,2026-02-26 11:12:20.323990,0 days 00:00:00.698420,0.2703277561458596,3,sigmoid,,,linear,3414.0,0.002643898876252726,PRUNED
102,1.2149355098678187,2026-02-26 11:12:20.349277,2026-02-26 11:12:20.593671,0 days 00:00:00.244394,0.003315316349620717,3,sigmoid,,,linear,4796.0,0.00042665851386060034,PRUNED
103,1.148281477613077,2026-02-26 11:12:20.617578,2026-02-26 11:12:20.947519,0 days 00:00:00.329941,0.002883636763381609,3,sigmoid,,,linear,3920.0,0.0008475282435431587,COMPLETE
104,1.1536165981820818,2026-02-26 11:12:20.975507,2026-02-26 11:12:21.293007,0 days 00:00:00.317500,0.0015146386679526418,3,sigmoid,,,linear,2863.0,0.0007839889888501917,COMPLETE
105,1.2144632475195385,2026-02-26 11:12:21.325919,2026-02-26 11:12:21.564531,0 days 00:00:00.238612,0.0032473295396271396,3,sigmoid,,,linear,3992.0,0.0009354195296168961,PRUNED
106,1.2363166513403379,2026-02-26 11:12:21.588212,2026-02-26 11:12:21.832987,0 days 00:00:00.244775,0.006512880931505542,3,sigmoid,,,linear,3756.0,0.0006467679691095088,PRUNED
107,1.221681248890932,2026-02-26 11:12:21.862481,2026-02-26 11:12:22.108318,0 days 00:00:00.245837,0.004281391754419167,3,sigmoid,,,linear,5405.0,0.0004310148804873586,PRUNED
108,1.4997400236104568,2026-02-26 11:12:22.131192,2026-02-26 11:12:23.798221,0 days 00:00:01.667029,20.07612716737678,3,isotonic,,,linear,6630.0,0.0018118902379872937,PRUNED
109,1.271192651669061,2026-02-26 11:12:23.823437,2026-02-26 11:12:24.825707,0 days 00:00:01.002270,0.011766668164513832,3,sigmoid,,0.013230359376694952,rbf,,,PRUNED
110,1.1488542888071354,2026-02-26 11:12:24.857786,2026-02-26 11:12:25.185135,0 days 00:00:00.327349,0.0024351874880289667,3,sigmoid,,,linear,2514.0,0.0008087820870115874,COMPLETE
111,1.1522948257970103,2026-02-26 11:12:25.217042,2026-02-26 11:12:25.569963,0 days 00:00:00.352921,0.0016672612478310462,3,sigmoid,,,linear,7308.0,0.0002990343043692989,COMPLETE
112,1.214345953480383,2026-02-26 11:12:25.598438,2026-02-26 11:12:25.827251,0 days 00:00:00.228813,0.0032304982871768635,3,sigmoid,,,linear,4650.0,0.0005840272312122873,PRUNED
113,1.148508158148817,2026-02-26 11:12:25.851457,2026-02-26 11:12:26.179424,0 days 00:00:00.327967,0.0026414753791502476,3,sigmoid,,,linear,5997.0,0.0005110530366590147,COMPLETE
114,1.2258859658975083,2026-02-26 11:12:26.210566,2026-02-26 11:12:26.472289,0 days 00:00:00.261723,0.0048940214931467415,3,sigmoid,,,linear,3377.0,0.0003573313617007554,PRUNED
115,1.1494452438732643,2026-02-26 11:12:26.501603,2026-02-26 11:12:26.817155,0 days 00:00:00.315552,0.0022123918024276453,3,sigmoid,,,linear,3909.0,0.0014245053629590562,COMPLETE
116,1.435628282062899,2026-02-26 11:12:26.849444,2026-02-26 11:12:28.121300,0 days 00:00:01.271856,0.7636759116211821,3,sigmoid,,,linear,5222.0,0.0006470222540223605,PRUNED
117,1.2331932892027955,2026-02-26 11:12:28.144862,2026-02-26 11:12:28.387384,0 days 00:00:00.242522,0.0060095040358817894,3,sigmoid,,,linear,5781.0,0.001088618123673939,PRUNED
118,1.3948485314208583,2026-02-26 11:12:28.410895,2026-02-26 11:12:29.018337,0 days 00:00:00.607442,0.13014802893612862,3,sigmoid,,,linear,2468.0,0.00048805306817863733,PRUNED
119,1.2401547811695444,2026-02-26 11:12:29.044166,2026-02-26 11:12:29.287657,0 days 00:00:00.243491,0.00309713432336027,3,sigmoid,balanced,,linear,2975.0,0.00011331942646031586,PRUNED
120,1.2423307237197367,2026-02-26 11:12:29.312735,2026-02-26 11:12:29.578819,0 days 00:00:00.266084,0.007534141362664471,3,sigmoid,,,linear,4762.0,0.00023970362086682442,PRUNED
121,1.1508741070095805,2026-02-26 11:12:29.603167,2026-02-26 11:12:29.920660,0 days 00:00:00.317493,0.0018832722350326243,3,sigmoid,,,linear,4224.0,0.00039288662765290573,COMPLETE
122,1.1486480511147072,2026-02-26 11:12:29.949412,2026-02-26 11:12:30.269692,0 days 00:00:00.320280,0.0025466049313479827,3,sigmoid,,,linear,16507.0,0.0008856176199444573,COMPLETE
123,1.2196591746836076,2026-02-26 11:12:30.297493,2026-02-26 11:12:30.532500,0 days 00:00:00.235007,0.003989435461572634,3,sigmoid,,,linear,18126.0,0.0007161916774215151,PRUNED
124,1.150952962714478,2026-02-26 11:12:30.556992,2026-02-26 11:12:30.801626,0 days 00:00:00.244634,0.0011553881867124617,3,sigmoid,,,linear,3554.0,0.0005318504847513498,PRUNED
125,1.1482606603952403,2026-02-26 11:12:30.829752,2026-02-26 11:12:31.142343,0 days 00:00:00.312591,0.002922682620195183,3,sigmoid,,,linear,5029.0,0.0012844427341067034,COMPLETE
126,1.225714971124971,2026-02-26 11:12:31.169810,2026-02-26 11:12:31.409159,0 days 00:00:00.239349,0.004868945780109973,3,sigmoid,,,linear,5060.0,0.0012053466114458193,PRUNED
127,1.3821160204313254,2026-02-26 11:12:31.442258,2026-02-26 11:12:31.747616,0 days 00:00:00.305358,0.003023871301400145,3,isotonic,,,linear,5705.0,0.00033029764554886004,COMPLETE
128,1.1493611484275963,2026-02-26 11:12:31.775129,2026-02-26 11:12:32.107398,0 days 00:00:00.332269,0.0022386853295280995,3,sigmoid,,,linear,4359.0,0.00017286011719690165,COMPLETE
129,1.3748213300426417,2026-02-26 11:12:32.136067,2026-02-26 11:12:33.294072,0 days 00:00:01.158005,0.011330927812260716,3,sigmoid,,0.13324222542143685,rbf,,,PRUNED
130,1.1530800696408623,2026-02-26 11:12:33.327793,2026-02-26 11:12:33.679153,0 days 00:00:00.351360,0.0015722586989663295,3,sigmoid,,,linear,2865.0,4.533846526444959e-06,COMPLETE
131,1.216511101311015,2026-02-26 11:12:33.706447,2026-02-26 11:12:33.957034,0 days 00:00:00.250587,0.003540345473844813,3,sigmoid,,,linear,2293.0,0.000912221869657738,PRUNED
132,1.148385429973636,2026-02-26 11:12:33.980110,2026-02-26 11:12:34.359493,0 days 00:00:00.379383,0.0027516044175130046,3,sigmoid,,,linear,8052.0,0.0013238886564226713,COMPLETE
133,1.1504523753673654,2026-02-26 11:12:34.391879,2026-02-26 11:12:34.730057,0 days 00:00:00.338178,0.001963282273090906,3,sigmoid,,,linear,3831.0,0.0007341608965571283,COMPLETE
134,1.22891337786651,2026-02-26 11:12:34.758386,2026-02-26 11:12:35.111748,0 days 00:00:00.353362,0.005346290250243436,3,sigmoid,,,linear,14442.0,0.001035016041659878,PRUNED
135,1.220204342587072,2026-02-26 11:12:35.135757,2026-02-26 11:12:35.422665,0 days 00:00:00.286908,0.004067843519435028,3,sigmoid,,,linear,6459.0,0.0006207903618908657,PRUNED
136,1.1484784524459235,2026-02-26 11:12:35.450704,2026-02-26 11:12:35.773366,0 days 00:00:00.322662,0.0026661973811672305,3,sigmoid,,,linear,10436.0,0.0004648729735760301,COMPLETE
137,1.148694025312873,2026-02-26 11:12:35.802780,2026-02-26 11:12:36.088648,0 days 00:00:00.285868,0.0013236526802962694,3,sigmoid,,,linear,4934.0,0.0016228767508802814,PRUNED
