number,value,datetime_start,datetime_complete,duration,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
440,1.2381905705348049,2026-02-26 10:34:25.051714,2026-02-26 10:34:25.492784,0 days 00:00:00.441070,0.5602888939668248,0.4625822095858219,0.001000004589344937,0.2495017541775988,8,8,11,1595,0.002181488546847982,0.07032755845497471,0.8044819815408008,PRUNED
441,1.4234877959141121,2026-02-26 10:34:25.521194,2026-02-26 10:34:26.111132,0 days 00:00:00.589938,0.7650542880402607,0.49852528306143723,0.031146422069570134,0.23051124958129374,4,7,11,5699,0.21720132139749204,8.05341976626411,0.6157943929256501,COMPLETE
442,1.2257798409165057,2026-02-26 10:34:26.142805,2026-02-26 10:34:26.740170,0 days 00:00:00.597365,0.7812662680705994,0.7468832042347047,0.03376419489421789,0.23749091160847607,4,8,11,5713,0.2058307262042897,8.403936048660674,0.6281005236969509,PRUNED
443,1.2789659518373966,2026-02-26 10:34:26.768615,2026-02-26 10:34:27.295569,0 days 00:00:00.526954,0.7486021182451102,0.762110134552753,0.23139664162798848,0.21331789760941197,4,7,11,5842,0.21731336227812773,0.054459772888165815,0.619018914897301,PRUNED
444,1.2805689596959826,2026-02-26 10:34:27.328944,2026-02-26 10:34:27.986364,0 days 00:00:00.657420,0.7603084352217016,0.7818404311790741,0.030658175402379136,0.20307502696354346,4,8,11,5710,0.14794559796551235,9.91919638149887,0.9718182979490684,PRUNED
445,1.2980473118799931,2026-02-26 10:34:28.023432,2026-02-26 10:34:28.680396,0 days 00:00:00.656964,0.7647018429902549,0.8262776199413356,0.026907078861650953,0.14072694111534514,4,7,11,5524,0.24853730482897965,8.320723337075393,0.8147238805701689,PRUNED
446,1.2821071417806968,2026-02-26 10:34:28.710741,2026-02-26 10:34:29.273640,0 days 00:00:00.562899,0.7678518646753809,0.7173036683215633,0.041780923875693696,0.227019755515902,4,7,10,5988,0.26708136777432495,0.08696523885384233,0.9321407317359778,PRUNED
447,1.2539027011566313,2026-02-26 10:34:29.302080,2026-02-26 10:34:29.848103,0 days 00:00:00.546023,0.7898381771326158,0.4540339891399363,0.026765910015571364,0.22004658016968984,4,8,6,5741,0.0012452066923939087,0.016644787086712125,0.7951888936788899,PRUNED
448,1.2234983495328344,2026-02-26 10:34:29.876673,2026-02-26 10:34:30.338491,0 days 00:00:00.461818,0.9604145441632861,0.4878832304693104,0.04054913810428597,0.24984227796500644,5,6,11,5871,0.0019305941308647874,7.189351771866636,0.999721455350835,PRUNED
449,1.2734169161425422,2026-02-26 10:34:30.367579,2026-02-26 10:34:30.900296,0 days 00:00:00.532717,0.7453301975248852,0.46852198493671254,0.03201037373855543,0.2388028764657302,5,8,5,5658,0.19434739201173673,3.6734424064480464,0.6283419283717065,PRUNED
450,1.2924870035847709,2026-02-26 10:34:30.928866,2026-02-26 10:34:31.430684,0 days 00:00:00.501818,0.8997859069694104,0.4455580938510649,0.03562328860536024,0.2075599229947382,5,7,11,5552,0.0016295872892029826,4.270733448104844,0.9195113133799864,PRUNED
451,1.231324364810155,2026-02-26 10:34:31.496191,2026-02-26 10:34:32.076844,0 days 00:00:00.580653,0.7709046333011151,0.7682791870461384,0.02152898464104138,0.2303829581653864,5,7,10,4417,0.32783421477496594,5.707785673736321,0.8106441787018229,PRUNED
452,1.2536026670637896,2026-02-26 10:34:32.493472,2026-02-26 10:34:33.087351,0 days 00:00:00.593879,0.5432386643063124,0.8339134806775638,0.0242706000252388,0.2151360365229741,4,10,11,5824,0.002521377972727182,4.381626700305686,0.6926841156796519,PRUNED
453,1.2239529104561842,2026-02-26 10:34:33.122214,2026-02-26 10:34:33.641776,0 days 00:00:00.519562,0.57213469974255,0.7424692830389675,0.0013422984437033508,0.23754253793754632,10,8,11,3935,0.0013471192905517764,0.09393374183603828,0.6201060068411531,PRUNED
454,1.2554039301120583,2026-02-26 10:34:33.669030,2026-02-26 10:34:34.148768,0 days 00:00:00.479738,0.7384489318994155,0.5098152619020068,0.027939209101253335,0.22500537658802913,5,7,10,5609,0.29879985169451806,7.780123671179018,0.9467837062721883,PRUNED
455,1.452456026092866,2026-02-26 10:34:34.177824,2026-02-26 10:34:34.775659,0 days 00:00:00.597835,0.8164919040284109,0.43606196911212747,0.04623491453183414,0.20599960363601785,4,7,11,2013,0.18145985654448227,3.6510672427887427,0.7360145291512172,COMPLETE
456,1.2731272495791712,2026-02-26 10:34:34.807521,2026-02-26 10:34:35.378484,0 days 00:00:00.570963,0.5239067821782116,0.8004475578043577,0.03699991139401335,0.23949579121670322,5,6,2,4572,0.002095342920592603,5.65468653249668,0.804428511689587,PRUNED
457,1.449260803377084,2026-02-26 10:34:35.406695,2026-02-26 10:34:35.827050,0 days 00:00:00.420355,0.5543111168273293,0.4777603985252639,0.0023940593455789474,0.21924096725984865,9,3,11,2896,0.003670288887367727,0.07117955755341403,0.8193429792666888,COMPLETE
458,1.3405252595368309,2026-02-26 10:34:35.858339,2026-02-26 10:34:36.768477,0 days 00:00:00.910138,0.7610878493939892,0.7811226620565608,0.10260372009918045,0.19896792496871363,5,8,1,1901,0.0011807450724167045,8.035611534095354,0.7855435369546735,PRUNED
459,1.2510141353481616,2026-02-26 10:34:36.796333,2026-02-26 10:34:37.290130,0 days 00:00:00.493797,0.8653048526874086,0.7573507412045235,0.7577235421757001,0.23200071694091862,5,7,11,5404,0.026005941099323734,9.765624214436581,0.6305556556855817,PRUNED
460,1.2487137218737938,2026-02-26 10:34:37.317985,2026-02-26 10:34:37.866875,0 days 00:00:00.548890,0.778990718134997,0.7276120993325967,0.052633874501037674,0.2490869028392658,0,7,10,3004,0.044985149112192695,4.815305775278685,0.7978202553177679,PRUNED
461,1.3466514196314119,2026-02-26 10:34:37.895941,2026-02-26 10:34:38.514023,0 days 00:00:00.618082,0.5782426477502166,0.8127591966363144,0.0015659536779799245,0.21377260953526003,5,8,6,2006,0.0017420878354586675,0.1027969478407313,0.7691300757929147,PRUNED
462,1.2765283655957147,2026-02-26 10:34:38.542908,2026-02-26 10:34:39.156466,0 days 00:00:00.613558,0.5374881947362038,0.49622395105789835,0.08572483449836193,0.06950425954948192,10,7,4,5880,0.0010074346954205913,6.891023083353919,0.8177873359553409,PRUNED
463,1.2322043240926037,2026-02-26 10:34:39.186120,2026-02-26 10:34:39.780204,0 days 00:00:00.594084,0.5677878762220414,0.4205117290667083,0.02029006491704345,0.0509324545631575,5,8,11,2789,0.001468131787598599,0.028740723592182223,0.9032920191718279,PRUNED
464,1.4290703923177641,2026-02-26 10:34:39.807812,2026-02-26 10:34:40.353973,0 days 00:00:00.546161,0.7537208228429256,0.46070882966703447,0.027082262629485748,0.22904719884526353,6,9,12,2509,0.0049355384884816255,0.05713251470624155,0.6128879686373878,COMPLETE
465,1.2551697035462641,2026-02-26 10:34:40.385580,2026-02-26 10:34:40.822541,0 days 00:00:00.436961,0.7577494124636606,0.4605567977039921,0.031953976715070415,0.22825978471353836,6,7,12,2957,0.0039029117347109087,0.08224348414658206,0.7079644270902967,PRUNED
466,1.2323601450138197,2026-02-26 10:34:40.851517,2026-02-26 10:34:41.312746,0 days 00:00:00.461229,0.7684424103425286,0.4547994380774208,0.026746952772717707,0.2410462368485928,6,9,12,2414,0.002930532794223866,0.07222633035309686,0.6002650131794638,PRUNED
467,1.222279230119741,2026-02-26 10:34:41.341979,2026-02-26 10:34:41.840268,0 days 00:00:00.498289,0.7365330341789376,0.4701152457549862,0.02265176026071248,0.21789485214677237,6,10,12,2576,0.004757366389263459,0.04935248953864109,0.6173644622905285,PRUNED
468,1.4286701689631085,2026-02-26 10:34:41.870163,2026-02-26 10:34:42.683209,0 days 00:00:00.813046,0.7464187271230777,0.4883899402899793,0.03790874825486065,0.23989983151950398,6,9,12,2493,0.004180714812954963,0.03664050850192603,0.6139931404306791,COMPLETE
469,1.2230664678095442,2026-02-26 10:34:42.724283,2026-02-26 10:34:43.184256,0 days 00:00:00.459973,0.7579277322709781,0.48251008102330023,0.03988362145159529,0.23920136280325544,6,9,12,2487,0.0049489847954994285,0.02858439249957678,0.6028296310244488,PRUNED
470,1.2256004868941948,2026-02-26 10:34:43.213773,2026-02-26 10:34:43.664302,0 days 00:00:00.450529,0.7541050699792649,0.47517218822750396,0.05025862226687353,0.24862668602559346,6,9,12,2620,0.002945030059755251,0.03678889217448158,0.6103258331937306,PRUNED
471,1.2361952394129216,2026-02-26 10:34:43.695509,2026-02-26 10:34:44.194643,0 days 00:00:00.499134,0.7421585071578038,0.4947097822099081,0.030390104296517385,0.23009542850594486,6,9,12,2257,0.005789111681462815,0.03712146565711108,0.6126832120177578,PRUNED
472,1.266300530684322,2026-02-26 10:34:44.225372,2026-02-26 10:34:44.729292,0 days 00:00:00.503920,0.7947072284268568,0.4829379936033653,0.011132955429901949,0.23994475017518727,7,9,12,2423,0.004248641408999569,0.050862482723552566,0.6174925979713488,PRUNED
473,1.2264548047714832,2026-02-26 10:34:44.759690,2026-02-26 10:34:45.293786,0 days 00:00:00.534096,0.9803026937879554,0.5134613049378969,0.033208372832304954,0.24966264128654383,7,9,12,2538,0.0036555407162397165,0.04582141767330347,0.6252470672674456,PRUNED
474,1.274923878162806,2026-02-26 10:34:45.338022,2026-02-26 10:34:45.831821,0 days 00:00:00.493799,0.746264464123824,0.4966900068438086,0.04495456523278351,0.20273539136520613,4,9,12,2461,0.004929515671054058,0.032916680418322665,0.6079518781321056,PRUNED
475,1.2278287730780082,2026-02-26 10:34:45.861612,2026-02-26 10:34:46.351004,0 days 00:00:00.489392,0.7280368901214661,0.46858384228087063,0.03758121014418275,0.22566537240989304,6,9,12,2628,0.0031817206200798987,0.04041240582443842,0.6205255532686575,PRUNED
476,1.2483333752666619,2026-02-26 10:34:46.378806,2026-02-26 10:34:46.849217,0 days 00:00:00.470411,0.771082591103085,0.48394538484269845,0.06076328605602506,0.21296153353234581,4,9,12,2388,0.004152557225584522,0.05638227237002303,0.6089243414459586,PRUNED
477,1.2651120100736102,2026-02-26 10:34:46.878575,2026-02-26 10:34:47.414291,0 days 00:00:00.535716,0.7829633941261195,0.5027612801736882,0.02739896304919106,0.2303086498745584,9,9,12,2646,0.0034509662082042774,0.0614676180071456,0.6252451194262972,PRUNED
478,1.4262497272995698,2026-02-26 10:34:47.443824,2026-02-26 10:34:47.997110,0 days 00:00:00.553286,0.748901268726983,0.5180791186854595,0.018822194047625345,0.22054580952297623,6,7,12,2733,0.002419599626999761,0.025637054003135578,0.6112297884732467,COMPLETE
479,1.2666725923641926,2026-02-26 10:34:48.029510,2026-02-26 10:34:48.537271,0 days 00:00:00.507761,0.7354750424515127,0.5215209479646659,0.018291529807838335,0.23735207289426363,6,9,12,2727,0.0027655806281844594,0.029167427979908546,0.9685973201399388,PRUNED
