number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
325,0.13626072294838196,2026-02-26 13:28:44.530058,2026-02-26 13:29:06.902480,0 days 00:00:22.372422,0.6898555793159863,0.013876340375911613,0.18353609755150951,9,9,1,1543,2.0861506217876573,0.7841416401657797,12.052266162565163,0.7848129309476606,PRUNED
326,0.27674535599467054,2026-02-26 13:29:06.936888,2026-02-26 13:29:24.629669,0 days 00:00:17.692781,0.7052568351484236,0.010628108582641118,0.18594014543126564,9,10,1,1835,0.9993887752409935,0.9367549063702605,12.418483441928009,0.7767532209225719,COMPLETE
327,0.27115690058646374,2026-02-26 13:29:24.663289,2026-02-26 13:29:43.069041,0 days 00:00:18.405752,0.7119199891325093,0.02570825355297084,0.18325211028778698,9,10,1,1849,0.08630950719443266,0.8127379597508604,12.023037185883362,0.7803178101351688,COMPLETE
328,0.13597239828166435,2026-02-26 13:29:43.117433,2026-02-26 13:30:06.197308,0 days 00:00:23.079875,0.7138537063048727,0.024312026548178232,0.18088490248692407,9,10,1,1844,0.08785178837141722,6.7356584550208485,12.425443810461557,0.7766106525440433,PRUNED
329,0.13442174118552433,2026-02-26 13:30:06.233784,2026-02-26 13:30:32.141640,0 days 00:00:25.907856,0.708057187199997,0.00882708003006678,0.17183052694288545,9,10,1,1843,1.6089462947600717,0.06167480753394069,13.141185671814073,0.7726259122750643,PRUNED
330,0.13580015129840428,2026-02-26 13:30:32.180254,2026-02-26 13:30:54.195844,0 days 00:00:22.015590,0.9114880872446448,0.015494159544270155,0.18655321813449022,9,10,1,1877,2.8158574882056904,0.8956997495750542,12.00719692482104,0.766284364836183,PRUNED
331,0.1343367454814694,2026-02-26 13:30:54.292820,2026-02-26 13:31:17.123161,0 days 00:00:22.830341,0.6717775928296094,0.020810418835534934,0.17785754991298186,9,10,1,1107,2.005737273806346,0.008195023136692424,12.431776227724285,0.7789807708135633,PRUNED
332,0.1517519225383073,2026-02-26 13:31:17.158672,2026-02-26 13:31:38.834806,0 days 00:00:21.676134,0.9618927866818577,0.027496312714447024,0.1864269045940257,8,10,1,1822,1.4789286201173257,0.7290319711225404,29.575632363311897,0.7533801931765384,PRUNED
333,0.2750847536790397,2026-02-26 13:31:38.894782,2026-02-26 13:31:56.377905,0 days 00:00:17.483123,0.657519684365043,0.017742498621394962,0.19353538803929862,9,10,1,1894,0.05876555863094225,0.9744445028994299,12.054473556274404,0.7650288383986564,COMPLETE
334,0.2737705194593914,2026-02-26 13:31:56.407625,2026-02-26 13:32:14.469732,0 days 00:00:18.062107,0.6585236881010268,0.019091499093192275,0.19417328744502707,9,10,1,1881,0.0636624800137254,1.0065743228627788,12.026781270707975,0.738492795242249,COMPLETE
