number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight_mode,params_gamma,params_kernel,params_max_iter,params_pos_weight,params_tol,state
60,0.10598184068659226,2026-02-26 11:24:27.948547,2026-02-26 11:25:12.009853,0 days 00:00:44.061306,1.4166747096307422,5,sigmoid,balanced,0.04031387454567317,rbf,,,,COMPLETE
61,0.104626120272918,2026-02-26 11:25:12.059136,2026-02-26 11:26:25.763060,0 days 00:01:13.703924,0.2671873415336475,5,sigmoid,balanced,0.07115996162910974,rbf,,,,COMPLETE
62,0.11657410427424998,2026-02-26 11:26:25.819693,2026-02-26 11:26:34.755766,0 days 00:00:08.936073,0.13968169831582672,5,sigmoid,custom,,linear,2777.0,65.3114450805332,2.9019779776444995e-05,PRUNED
63,0.10634254865743513,2026-02-26 11:26:34.786564,2026-02-26 11:27:15.962288,0 days 00:00:41.175724,1.2267983233587592,5,sigmoid,balanced,0.06201282284799075,rbf,,,,COMPLETE
64,0.08991135876885983,2026-02-26 11:27:16.009392,2026-02-26 11:31:33.955523,0 days 00:04:17.946131,0.379721876469888,5,sigmoid,balanced,0.41630195068884934,rbf,,,,PRUNED
65,0.1067457121375055,2026-02-26 11:31:33.987191,2026-02-26 11:32:11.565941,0 days 00:00:37.578750,1.5938762451550796,5,sigmoid,balanced,0.08317361196001063,rbf,,,,COMPLETE
66,0.10463071503493722,2026-02-26 11:32:11.594159,2026-02-26 11:33:24.370119,0 days 00:01:12.775960,0.3063960184285188,5,sigmoid,balanced,0.05245993048234012,rbf,,,,COMPLETE
67,0.10650245978621616,2026-02-26 11:33:24.400101,2026-02-26 11:34:57.481965,0 days 00:01:33.081864,0.21599580127672807,5,sigmoid,balanced,0.2016686213240643,rbf,,,,COMPLETE
68,0.10531879798311225,2026-02-26 11:34:57.517908,2026-02-26 11:36:13.929864,0 days 00:01:16.411956,0.25539501127469494,5,sigmoid,balanced,0.14503376724454276,rbf,,,,COMPLETE
69,0.1058946412192027,2026-02-26 11:36:13.961603,2026-02-26 11:37:37.927368,0 days 00:01:23.965765,0.24767861771407493,5,sigmoid,balanced,0.176221703229853,rbf,,,,COMPLETE
70,0.12542755798709276,2026-02-26 11:37:37.961628,2026-02-26 11:37:43.217104,0 days 00:00:05.255476,0.10124364984456921,3,sigmoid,balanced,,linear,6856.0,,1.3189728028275167e-06,PRUNED
71,0.10594608323446612,2026-02-26 11:37:43.250351,2026-02-26 11:38:51.910565,0 days 00:01:08.660214,0.4066477303047662,5,sigmoid,balanced,0.16162530320027704,rbf,,,,COMPLETE
